code,label,parent
dermatology,Dermatology,medical_skin_care
mens_clothing_store,Mens Clothing Store,clothing_store
food_truck_stand,Food Truck Stand,casual_eatery
fashion_accessories_store,Fashion Accessories Store,fashion_and_apparel_store
smoke_and_vape_store,Smoke And Vape Store,specialty_store
weight_loss_center,Weight Loss Center,wellness_service
tutoring_service,Tutoring Service,educational_service
bookstore,Bookstore,books_music_and_video_store
museum,Museum,arts_and_entertainment
travel_agent,Travel Agent,travel_service
golf_course,Golf Course,sport_or_fitness_facility
tire_shop,Tire Shop,automotive_service
brewery,Brewery,alcoholic_beverage_venue
installment_loans,Installment Loans,financial_service
safety_equipment_store,Safety Equipment Store,specialty_store
home_developer,Home Developer,builder
pediatric_dentistry,Pediatric Dentistry,dental_clinic
web_designer,Web Designer,design_service
acupuncture,Acupuncture,complementary_and_alternative_medicine
masonry_concrete,Masonry Concrete,home_service
gastroenterology,Gastroenterology,specialized_health_care
medical_supply_store,Medical Supply Store,specialty_store
builder,Builder,real_estate_service
motel,Motel,hotel
swimming_pool,Swimming Pool,sport_or_fitness_facility
warehouse_club_store,Warehouse Club Store,shopping
cocktail_bar,Cocktail Bar,bar
home_goods_store,Home Goods Store,hardware_home_and_garden_store
driving_school,Driving School,specialty_school
gun_and_ammo_store,Gun And Ammo Store,specialty_store
legal_service,Legal Service,services_and_business
music_school,Music School,specialty_school
sign_making,Sign Making,design_service
countertop_installation,Countertop Installation,home_service
limo_service,Limo Service,taxi_or_ride_share_service
theatre_venue,Theatre Venue,performing_arts_venue
bail_bonds_service,Bail Bonds Service,legal_service
history_museum,History Museum,museum
machine_shop,Machine Shop,technical_service
private_school,Private School,school
tanning_salon,Tanning Salon,personal_or_beauty_service
campus_building,Campus Building,educational_facility
divorce_and_family_law,Divorce And Family Law,attorney_or_law_firm
airport,Airport,air_transport_facility_or_service
auto_customization,Auto Customization,automotive_service
event_venue,Event Venue,arts_and_entertainment
toy_store,Toy Store,toys_and_games_store
dessert_shop,Dessert Shop,casual_eatery
broadcasting_media_production,Broadcasting Media Production,media_news_company
performing_arts_venue,Performing Arts Venue,arts_and_entertainment
pilates_studio,Pilates Studio,fitness_studio
nutrition_service,Nutrition Service,wellness_service
fire_protection_service,Fire Protection Service,home_service
commercial_real_estate,Commercial Real Estate,real_estate_service
party_supply_store,Party Supply Store,specialty_store
t_shirt_printing_service,T Shirt Printing Service,screen_printing_service
equestrian_facility,Equestrian Facility,horse_riding
music_production,Music Production,media_news_company
amusement_park,Amusement Park,amusement_attraction
medical_service_organization,Medical Service Organization,medical_service
telecommunications_company,Telecommunications Company,corporate_or_business_office
office_supply_store,Office Supply Store,specialty_store
architectural_designer,Architectural Designer,design_service
dance_club,Dance Club,nightlife_venue
criminal_defense_law,Criminal Defense Law,attorney_or_law_firm
musical_instrument_store,Musical Instrument Store,musical_instrument_and_pro_audio_store
senior_citizen_service,Senior Citizen Service,social_or_community_service
ev_charging_station,Ev Charging Station,fueling_station
gardener,Gardener,landscaping
social_and_human_service,Social And Human Service,social_or_community_service
oncology,Oncology,internal_medicine
garage_door_service,Garage Door Service,home_service
pool_cleaning,Pool Cleaning,home_service
carpenter,Carpenter,home_service
tour_operator,Tour Operator,travel_service
town_hall,Town Hall,government_office
hair_supply_store,Hair Supply Store,beauty_supply_store
specialty_school,Specialty School,place_of_learning
auto_glass_service,Auto Glass Service,automotive_service
marina,Marina,built_feature
movie_theater,Movie Theater,arts_and_entertainment
indian_restaurant,Indian Restaurant,south_asian_restaurant
plastic_and_reconstructive_surgery,Plastic And Reconstructive Surgery,surgery
video_and_video_game_rental,Video And Video Game Rental,books_music_and_video_store
waxing,Waxing,hair_removal
taco_restaurant,Taco Restaurant,latin_american_restaurant
resort,Resort,lodging
investing,Investing,financial_service
pentecostal_place_of_worship,Pentecostal Place Of Worship,protestant_place_of_worship
vocational_and_technical_school,Vocational And Technical School,specialty_school
childrens_clothing_store,Childrens Clothing Store,clothing_store
